100
synthermal,1,synthermal
hygrometric,1,hygrometric
abstracziohism,0
alacriry,1,alacrity
savkl,0
hypertrichhses,1,hypertrichoses
conuregate,1,congregate
gumbootj,1,gumboots
moxochondrofibrosarcomas,1,myxochondrofibrosarcomas
globalists,1,globalists
majen,1,maven
passabrhness,0
unintelligibly,1,unintelligibly
ovexstride,1,overstride
dictations,1,dictations
malapropism,1,malapropism
epanarthortic,1,epanarthortic
supposrtion,1,supposition
ogcillographies,1,oscillographies
destroyablw,1,destroyable
elands,1,elands
faters,11,caters,daters,eaters,facers,faders,fakers,farers,haters,raters,vaters,waters
yjnks,1,yanks
shiai,1,shiai
sylvian,1,sylvian
buvger,3,budger,bugger,burger
skippingly,1,skippingly
guiltiest,1,guiltiest
superfetation,1,superfetation
gravimetrhes,1,gravimetries
rodent,1,rodent
electrocutes,1,electrocutes
rejoicing,1,rejoicing
fossicked,1,fossicked
transneror,1,transferor
barrwcadex,0
economist,1,economist
haval,5,caval,hadal,halal,hamal,naval
glumelike,1,glumelike
jindles,2,jingles,kindles
scragglier,1,scragglier
hologynic,1,hologynic
rosier,1,rosier
nursemaid,1,nursemaid
aalpiwhiaceous,0
rifampicin,1,rifampicin
unreasoningly,1,unreasoningly
beggarwy,1,beggarly
jerrican,1,jerrican
maxihus,1,maximus
dnnrt,0
garfishep,1,garfishes
faciazly,1,facially
clubgoman,1,clubwoman
tercdntenaries,1,tercentenaries
friezk,1,frieze
intoxicatmr,1,intoxicator
athletical,1,athletical
weapons,1,weapons
hunchback,1,hunchback
oncogezicity,1,oncogenicity
stomal,1,stomal
atropkne,1,atropine
glimmeys,1,glimmers
contradictiousness,1,contradictiousness
hemxine,1,hemline
molarities,1,molarities
postiffs,1,pontiffs
armorwal,1,armorial
kagosl,1,kagoul
saturates,1,saturates
slnnky,1,slinky
assessmehts,1,assessments
tension,1,tension
apollinian,1,apollonian
bioconversion,1,bioconversion
cinerin,1,cinerin
lankiness,1,lankiness
bellfoundyr,1,bellfounder
mayuration,1,maturation
dupq,1,dupe
dodderex,2,doddered,dodderer
ropercolation,1,repercolation
hosannas,1,hosannas
pretanding,1,pretending
osteoclast,1,osteoclast
sure,1,sure
underbuild,1,underbuild
biro,1,biro
prebill,1,prebill
nonbelliherents,1,nonbelligerents
chlonographic,1,chronographic
parentheses,1,parentheses
fisherius,1,fisheries
slopingness,1,slopingness
jumbo,1,jumbo
chnnky,1,chunky
outfecing,1,outfacing
antiprothrombis,1,antiprothrombin
commitsal,1,committal
