100
grandam,1,grandam
reformatorv,1,reformatory
unleads,1,unleads
thyme,1,thyme
monofactorial,1,monofactorial
heavyweight,1,heavyweight
uontaminants,1,contaminants
neurohypophyses,1,neurohypophyses
massage,1,massage
farrows,1,farrows
unweaves,1,unweaves
ausumably,1,assumably
eyedropper,1,eyedropper
clerky,1,clerky
norseman,1,norseman
burlesqued,1,burlesqued
circumventers,1,circumventers
preallotted,1,preallotted
giggles,1,giggles
reexist,1,reexist
sibling,1,sibling
pfennig,1,pfennig
fretful,1,fretful
boblet,1,boblet
nurselings,1,nurselings
verderership,1,verderership
drugged,1,drugged
trouncers,1,trouncers
recumbencies,1,recumbencies
blowback,1,blowback
modification,1,modification
xanthosea,1,xanthoses
resiting,1,resiting
sighting,1,sighting
invlstigatory,1,investigatory
awing,1,awing
magistrature,1,magistrature
lowborn,1,lowborn
cystoscope,1,cystoscope
cools,1,cools
dopes,1,dopes
heterotopy,1,heterotopy
discriminately,1,discriminately
chine,1,chine
armpit,1,armpit
phlegmatic,1,phlegmatic
ejaculator,1,ejaculator
cxildlike,1,childlike
labia,1,labia
weatherproofs,1,weatherproofs
irrationaqities,1,irrationalities
fibrilate,1,fibrilate
abettor,1,abettor
vesturer,1,vesturer
stepfathes,1,stepfather
myotome,1,myotome
drainers,1,drainers
brahmanic,1,brahmanic
epirogenetic,1,epirogenetic
conservations,1,conservations
migraines,1,migraines
marischal,1,marischal
polyvalence,1,polyvalence
herpetological,1,herpetological
autocorrelation,1,autocorrelation
bearable,1,bearable
evoking,1,evoking
polysyllables,1,polysyllables
chasuble,1,chasuble
oboist,1,oboist
nematocystic,1,nematocystic
pointillage,1,pointillage
naviculars,1,naviculars
professfses,1,professeses
kraal,1,kraal
pinfish,1,pinfish
tyrol,1,tyrol
epidotic,1,epidotic
artinessly,1,artinessly
debases,1,debases
euphvrsia,0
vinicultural,1,vinicultural
outmaneuvre,1,outmaneuvre
unchaperoned,1,unchaperoned
measurement,1,measurement
cismontane,1,cismontane
fade,1,fade
kimonoed,1,kimonoed
whiteners,1,whiteners
skitters,1,skitters
counterirritants,1,counterirritants
bespeaking,1,bespeaking
scalings,1,scalings
laxatively,1,laxatively
adenalgia,1,adenalgia
treing,1,treing
ruthless,1,ruthless
cobles,1,cobles
acceptable,1,acceptable
nomarchy,1,nomarchy
